devenv 2019-11-10 07:57:26,909 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:26,909 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:26,911 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:28,846 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:28,847 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:28,847 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:28,848 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:28,848 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:57:28,849 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:28,852 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:31,123 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,125 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,126 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,126 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,127 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,127 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:57:31,127 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:31,128 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:33,320 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,322 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,322 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,324 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,327 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,328 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:33,329 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:35,461 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:35,462 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:35,463 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:35,463 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:35,464 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:37,575 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:37,576 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:37,576 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:37,577 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:37,577 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:57:37,578 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:37,580 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:39,572 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,572 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,573 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,576 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,579 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,580 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:57:39,580 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:39,581 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:42,033 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,034 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,035 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,036 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,037 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,040 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:42,043 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:44,329 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,331 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,332 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,332 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,335 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,336 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:44,343 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:46,475 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,476 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,476 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,477 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,477 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,477 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:46,478 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:48,300 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:48,301 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:48,301 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:48,302 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:48,303 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:48,307 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:50,648 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:50,648 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:50,649 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:50,650 INFO     camera.inc: Counter incremented
devenv 2019-11-10 07:57:50,650 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:50,651 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:50,652 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:52,780 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:52,781 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:52,781 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:52,782 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:52,782 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:52,783 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:54,950 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:54,951 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:54,951 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:54,952 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:54,952 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:54,954 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:56,826 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:56,826 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:56,827 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:56,827 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:56,828 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:56,831 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:58,831 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:58,831 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:58,832 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:58,833 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:58,834 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:58,836 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:00,834 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:00,836 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:00,837 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:00,839 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:00,842 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:00,846 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:03,156 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:03,158 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:03,159 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:03,159 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:03,163 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:06,039 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:06,040 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:06,041 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:06,044 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:06,047 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:06,050 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:08,458 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:08,459 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:08,460 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:08,461 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:08,461 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:08,467 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:10,883 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,883 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,884 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,884 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,885 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,885 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:58:10,886 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:10,887 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:13,117 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,117 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,118 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,119 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,120 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,120 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:13,122 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:15,604 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,605 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,606 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,606 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,607 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,608 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:15,609 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:18,035 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,036 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,038 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,038 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,039 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,039 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,040 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:18,043 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:20,385 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,386 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,387 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,396 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,400 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,404 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:20,412 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:58:22,420 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,421 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,421 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,422 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,422 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,423 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:58:22,425 INFO     camera.draw_ROIs: Drawing ROIs
